,Time (ms),Voltage (mV),Voltage (mA),Force (Grams)
823,158980,326,1,-7
824,159166,341,1,-7
825,159352,352,1,-7
826,159537,352,1,-7
827,159731,352,1,-7
828,159919,352,1,-7
829,160112,358,1,-7
830,160300,379,1,-7
831,160494,423,1,-7
832,160671,433,1,-7
833,160853,438,1,-7
834,161035,438,1,-7
835,161212,438,1,-7
836,161391,438,1,-7
837,161567,438,1,-7
838,161741,438,1,-7
839,162110,438,1,-7
840,162296,438,1,-7
841,162471,438,1,-7
842,162683,438,1,-7
843,162882,438,1,-7
844,163060,438,1,-7
845,163239,439,1,-7
846,163410,461,1,-7
847,163591,479,1,-7
848,163770,489,1,-7
849,163955,489,1,-7
850,164131,489,1,-7
851,164308,489,1,-7
852,164483,489,1,-7
853,164656,489,1,-7
854,164836,489,1,-7
855,165021,489,1,-7
856,165199,489,1,-7
857,165373,489,1,-7
858,165547,489,1,-7
859,165722,489,1,-7
860,165899,489,1,-7
861,166077,489,1,-7
862,166253,489,1,-7
863,166430,489,1,-7
864,166608,489,1,-7
865,166806,489,1,-7
866,167094,489,1,-7
867,167293,489,1,-7
868,167495,489,1,-7
869,167678,489,1,-7
870,167860,489,1,-7
871,168033,489,1,-7
872,168211,489,1,-7
873,168389,489,1,-7
874,168569,489,1,-7
875,168745,489,1,-7
876,168925,489,1,-7
877,169106,489,1,-7
878,169293,489,1,-7
879,169468,489,1,-7
880,169649,489,1,-7
881,169822,489,1,-7
882,170010,489,1,-7
883,170190,489,1,-7
884,170366,489,1,-7
885,170550,489,1,-7
886,170724,489,1,-7
887,170916,489,1,-7
888,171094,489,1,-7
889,171289,489,1,-7
890,171493,489,1,-7
891,171672,489,1,-7
892,171845,489,1,-7
893,172018,489,1,-7
894,172192,489,1,-7
895,172375,489,1,-7
896,172554,489,1,-7
897,172740,489,1,-7
898,172925,468,1,-7
899,173110,436,1,-7
900,173306,388,1,-7
901,173494,341,1,-7
902,173679,334,1,-7
903,173871,334,1,-7
904,174050,296,1,-7
905,174227,236,1,-7
906,174405,200,1,-7
907,174591,155,1,-7
908,174774,147,1,-7
909,174994,146,1,-7
910,175196,73,1,-7
911,175401,31,1,-7
912,175596,0,1,-7
913,175806,0,1,-7
914,176001,0,1,-7
915,176180,0,1,-7
916,176363,0,1,-7
917,176545,0,1,-7
918,176724,0,1,-7
919,176900,0,1,-7
920,177078,0,1,-7
921,177257,0,1,-7
922,177441,0,1,-7
923,177625,0,1,-7
924,177808,0,1,-7
925,177990,0,1,-7
926,178167,0,5,-7
927,178347,0,8,-7
928,178526,0,13,-7
929,178701,0,15,-7
930,178876,0,15,-7
931,179059,0,15,-7
932,179238,0,16,-7
933,179414,0,28,-7
934,179609,0,226,-7
935,179789,0,443,-7
936,179971,0,443,-7
937,180183,0,443,-7
938,180357,0,443,-7
939,180541,0,442,-7
940,180718,0,443,-7
941,180908,0,442,-7
942,181096,0,443,-7
943,181273,0,442,-7
944,181454,0,442,-7
945,181643,0,442,-7
946,181825,0,441,-7
947,182009,0,443,-7
948,182185,0,443,-7
949,182363,0,443,-7
950,182542,0,443,-7
951,182721,0,443,-7
952,182959,0,443,-7
953,183147,0,443,-7
954,183328,0,442,-7
955,183508,0,443,-7
956,183693,0,453,-7
957,183874,0,729,-7
958,184059,0,1403,-7
959,184249,0,1411,-7
960,184471,0,1411,-7
961,184659,0,1411,-7
962,184847,0,1411,-7
963,185063,0,1410,-7
964,185447,0,1413,-7
965,185640,0,1412,-7
966,185834,0,1410,-7
967,186023,0,1413,-7
968,186211,0,1414,-7
969,186396,0,1414,-7
970,186585,0,1414,-7
971,186776,0,1414,-7
972,186970,0,1415,-7
973,187162,0,1413,-7
974,187589,0,1412,-7
975,187847,0,1413,-7
976,188047,0,1411,-7
977,188232,0,1411,-7
978,188422,0,1411,-7
979,188612,0,1414,-7
980,188798,0,1414,-7
981,188981,0,1414,-7
982,189165,0,882,-7
983,189388,0,525,-7
984,189577,0,336,-7
985,189766,0,291,-7
986,189954,0,292,-7
987,190146,0,292,-7
988,190334,0,278,-7
989,190533,0,126,-7
990,190728,0,10,-7
991,190926,0,5,-7
992,191121,0,5,-7
993,191312,0,5,-7
994,191506,0,4,-7
995,191699,0,4,-7
996,191890,0,1,-7
997,192090,0,1,-7
998,192283,0,1,-7
999,192473,0,1,-7
1000,192665,0,1,-7
1001,192858,23,1,-7
1002,193057,57,1,-7
1003,193249,57,1,-7
1004,193441,105,1,-7
1005,193630,155,1,-7
1006,193821,155,1,-7
1007,194060,115,1,-7
1008,194264,33,1,-7
1009,194458,13,1,-7
1010,194650,12,1,-7
1011,194844,0,1,-7
1012,195036,0,11,-7
1013,195229,0,11,-7
1014,195422,0,12,-7
1015,195613,0,358,-7
1016,195807,0,363,-7
1017,196008,0,363,-7
1018,196205,0,1172,-7
1019,196409,0,1194,-7
1020,196597,0,1288,-7
1021,196792,0,1888,-7
1022,196988,0,2018,-7
1023,197183,0,2018,-7
1024,197378,0,2020,-7
1025,197572,0,2025,-7
1026,197768,0,2021,-7
1027,197959,0,2019,-7
1028,198156,0,2065,-7
1029,198349,0,2509,-7
1030,198561,0,3086,-7
1031,198750,0,3225,-7
1032,198940,0,3224,-7
1033,199124,0,3223,-7
1034,199317,0,3221,-7
1035,199506,0,3219,-7
1036,199714,0,3222,-7
1037,199905,0,1930,-7
1038,200093,0,855,-7
1039,200277,0,728,-7
1040,200486,0,731,-7
1041,200678,0,732,-7
1042,200865,0,731,-7
1043,201054,0,731,-7
1044,201239,0,732,-7
1045,201426,0,732,-7
1046,201609,0,731,-7
1047,201800,0,732,-7
1048,201989,0,731,-7
1049,202173,0,731,-7
1050,202364,0,732,-7
1051,202563,19091,-17200,-7
1052,202757,22002,-20444,-7
1053,202973,22002,-20418,-7
1054,203155,22005,-20412,-7
1055,203332,22005,-20433,-7
1056,203510,22006,-20456,-7
1057,203688,22005,-20480,-7
1058,203866,22005,-20480,-7
1059,204046,22005,-20480,-7
1060,204225,22005,-20480,-7
1061,204404,22005,-20480,-7
1062,204588,22006,-20480,-7
1063,204777,22006,-20480,-7
1064,204948,22006,-20480,-7
1065,205124,22006,-20480,-7
1066,205298,22006,-20480,-7
1067,205463,22006,-20480,-7
1068,205631,22006,-20480,-7
1069,205797,21861,-19907,-7
1070,205964,7635,-5428,-7
1071,206138,0,1376,-7
1072,206310,0,1293,-7
1073,206477,0,1259,-7
1074,206694,0,1231,-7
1075,206867,0,1207,-7
1076,207036,0,1163,-7
1077,207203,0,1134,-7
1078,207371,0,1120,-7
1079,207536,0,1106,-7
1080,207893,0,1074,-7
1081,208060,0,1065,-7
1082,208225,0,1057,-7
1083,208390,0,1050,-7
1084,208560,0,1043,-7
1085,208741,0,1030,-7
1086,208911,0,1026,-7
1087,209079,0,200,-7
1088,209261,0,1,-7
1089,209447,0,1,-7
1090,209625,0,1,-7
1091,209806,0,1,-7
1092,209981,0,1,-7
1093,210160,0,1,-7
1094,210340,0,1,-7
